Hour,Theta1,Theta2,Theta3,Theta4
0,360,354.532,359.053,359.526
1,360,352.813,358.125,359.063
2,360,357.9,360,360
3,360,353.163,358.425,359.213
4,360,352.288,357.675,358.838
5,360,353.075,358.35,359.175
6,360,352.25,351.5,349.25
7,360,352.7,351.8,349.1
8,360,352.025,351.35,349.325
9,360,351.425,350.95,349.525
10,360,358.025,355.35,347.325
11,360,360,355.8,343.2
12,360,360,356.1,344.4
13,360,360,356.2,344.8
14,360,353.275,351.55,346.375
15,360,353,352,349
16,360,352.475,351.65,349.175
17,360,352.175,351.45,349.275
18,360,345.4,350.8,355.4
19,360,353.148,357.996,358.998
20,360,353.875,355.55,357.775
21,360,353.5,355.4,357.7
22,360,352.875,355.15,357.575
23,360,355,360,360
