Hour,Grid_Buy(MW),Grid_Sell(MW),DG1_Power(MW),DG2_Power(MW),Load1(MW),Load2(MW),Renewable_Gen(MW),BESS_Charge(MW),BESS_Discharge(MW),SoC
0,0,0,122,200,169,169,16,0,0,0.9
1,0,0,84.1125,200,175,175,17,0,48.8875,0.642697
2,0,0,50,200,179,179,17,0,91,0.16375
3,0,0,50,200,171,171,100,8,0,0.20175
4,0,0,50,200,181,181,181,69,0,0.5295
5,0,0,50,200,172,172,172,78,0,0.9
6,0,130,200,200,270,270,270,0,0,0.9
7,0,136,200,200,264,264,264,0,0,0.9
8,0,127,200,200,273,273,273,0,0,0.9
9,0,119,200,200,281,281,281,0,0,0.9
10,0,207,200,200,193,193,193,0,0,0.9
11,0,242,200,200,158,158,158,0,0,0.9
12,0,239,200,200,161,161,161,0,0,0.9
13,0,238,200,200,162,162,162,0,0,0.9
14,0,302,200,200,250,250,250,0,152,0.1
15,0,140,200,200,260,260,260,0,0,0.1
16,0,133,200,200,267,267,267,0,0,0.1
17,0,129,200,200,271,271,271,0,0,0.1
18,34,0,50,200,284,284,284,0,0,0.1
19,0,0,50,200,167,167,167,83,0,0.49425
20,0,0,50,78,128,128,128,0,0,0.49425
21,0,0,50,84,134,134,134,0,0,0.49425
22,0,0,50,94,144,144,144,0,0,0.49425
23,0,0,50,185.421,150,150,150,85.4211,0,0.9
